"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL973";"TERIFLUNOMIDE";"4.0";"270.21";"0";"3.00";"1, A-771726";"C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1";"IC50";"'='";"190100.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL911102";"Inhibition of recombinant Plasmodium falciparum DHODH";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1139229";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"190.1"
"CHEMBL217893";"";"None";"325.15";"0";"4.46";"3";"Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-]";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"20.42";"0.43";"2.18";"9.19";"0";"CHEMBL911102";"Inhibition of recombinant Plasmodium falciparum DHODH";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1139229";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"0.23"
"CHEMBL211501";"ANTIMYCIN A";"None";"548.63";"1";"3.48";"Antimycin A";"CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL942569";"Inhibition of Plasmodium falciparum DHOD";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1143267";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"10.0"
"CHEMBL451880";"";"None";"276.30";"0";"2.72";"15";"Cc1cc(Nc2ccc3ncccc3c2)n2ncnc2n1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"21.43";"0.39";"3.20";"8.71";"0";"CHEMBL961431";"Inhibition of Plasmodium falciparum DHODH assessed as reduction of 2,6-dichloroindophenol by stopped flow spectroscopy";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1150779";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";"";"1.2"
"CHEMBL2177858";"";"None";"341.22";"0";"3.74";"12";"Cc1cc(O)n2nc(SCc3cc(Cl)ccc3Cl)nc2n1";"IC50";"'='";"11000.0";"nM";"4.96";"";"";"UO_0000065";"14.53";"0.32";"1.22";"7.83";"0";"CHEMBL2188004";"Inhibition of Plasmodium falciparum dihydrofolate dehydrogenase expressed in Escherichia coli BL21(DE3) using dihydrofolate as substrate by DCIP-based colorimetric analysis";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2177061";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"11.0"
"CHEMBL2177855";"";"None";"317.33";"0";"2.34";"8";"Cc1cc(O)n2nc(SCc3ccccc3[N+](=O)[O-])nc2n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2188004";"Inhibition of Plasmodium falciparum dihydrofolate dehydrogenase expressed in Escherichia coli BL21(DE3) using dihydrofolate as substrate by DCIP-based colorimetric analysis";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2177061";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"100.0"
"CHEMBL372561";"";"None";"384.23";"0";"4.58";"16";"CN(C(=O)c1ccc2cc(Br)ccc2c1)c1ccccc1C(=O)O";"IC50";"'='";"93325.43";"nM";"4.03";"";"";"UO_0000065";"10.49";"0.23";"-0.55";"7.00";"1";"CHEMBL3062604";"Inhibition of Plasmodium falciparum HIs6-tagged DHODH expressed in Escherichia coli DH5alpha using L-dihydroorotate as substrate by DCIP-based spectrophotometric analysis";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3045219";"1";"Scientific Literature";"Med Chem Res";"2011";"None";"";"";"";"4.03"
"CHEMBL2234192";"";"None";"297.75";"0";"4.53";"13";"O=C(Nc1ccc(Cl)cc1)Nc1cccc2cccnc12";"IC50";"'='";"549.54";"nM";"6.26";"";"";"UO_0000065";"21.02";"0.41";"1.73";"11.59";"0";"CHEMBL3062604";"Inhibition of Plasmodium falciparum HIs6-tagged DHODH expressed in Escherichia coli DH5alpha using L-dihydroorotate as substrate by DCIP-based spectrophotometric analysis";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3045219";"1";"Scientific Literature";"Med Chem Res";"2011";"None";"";"";"";"6.26"
"CHEMBL217893";"";"None";"325.15";"0";"4.46";"6";"Cc1c(C(=O)Nc2cc(Cl)cc(Cl)c2)cccc1[N+](=O)[O-]";"IC50";"'='";"151.36";"nM";"6.82";"";"";"UO_0000065";"20.97";"0.44";"2.36";"9.44";"0";"CHEMBL3062604";"Inhibition of Plasmodium falciparum HIs6-tagged DHODH expressed in Escherichia coli DH5alpha using L-dihydroorotate as substrate by DCIP-based spectrophotometric analysis";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3045219";"1";"Scientific Literature";"Med Chem Res";"2011";"None";"";"";"";"6.82"
"CHEMBL3690127";"";"None";"299.40";"0";"3.57";"BDBM120309";"CCCN(C)C(=O)c1ccc(-n2cnc3ccccc32)s1";"IC50";"'>'";"30000.0";"nM";"";"";"248323";"UO_0000065";"";"";"";"";"0";"CHEMBL3706206";"Enzymatic Assays: Type 2 DHODH activity was monitored with either the direct assay measuring the formation of orotate or via a chromogen reduction assay using DCIP. Although the extinction coefficient and absorption wavelength are preferable for the chromogen reduction assay, the inorganic electron acceptor DCIP can be utilized by DHODH as the final electron acceptor in lieu of CoQn when the endogenous substrate is at a low concentration. As such, the direct assay was used to measure the binding affinity of pfDHODH to CoQD and L-DHO. The enzymatic reaction was performed by varying the L-DHO concentration (1-400 μM) or CoQD concentration (1-200 μM) while keeping the other substrate constant and in excess. Inhibition of DHODH by small molecules was evaluated using the chromogen based assay with a final substrate concentration of 200 μM L-DHO, 18 μM CoQD, and 100 μM DCIP, unless otherwise noted.";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3639068";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"30000.0"
"CHEMBL520999";"";"None";"381.65";"1";"5.61";"20";"C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1Cl";"IC50";"'='";"9900.0";"nM";"5.00";"";"";"UO_0000065";"13.11";"0.28";"-0.61";"6.84";"0";"CHEMBL984851";"Inhibition of ubiquinone binding site of Plasmodium falciparum dihydroorotate dehydrogenase";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1138463";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"9.9"
"CHEMBL142996";"";"None";"304.35";"0";"4.04";"11";"N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1";"IC50";"'='";"223600.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL984851";"Inhibition of ubiquinone binding site of Plasmodium falciparum dihydroorotate dehydrogenase";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1138463";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"223.6"
"CHEMBL2012956";"";"None";"331.83";"0";"3.94";"BDBM120301";"Cc1nc2cc(Cl)ccc2n1-c1ccc(C(=O)NC2CC2)s1";"IC50";"'='";"40.0";"nM";"7.40";"";"248316";"UO_0000065";"22.29";"0.46";"3.46";"15.77";"0";"CHEMBL3706206";"Enzymatic Assays: Type 2 DHODH activity was monitored with either the direct assay measuring the formation of orotate or via a chromogen reduction assay using DCIP. Although the extinction coefficient and absorption wavelength are preferable for the chromogen reduction assay, the inorganic electron acceptor DCIP can be utilized by DHODH as the final electron acceptor in lieu of CoQn when the endogenous substrate is at a low concentration. As such, the direct assay was used to measure the binding affinity of pfDHODH to CoQD and L-DHO. The enzymatic reaction was performed by varying the L-DHO concentration (1-400 μM) or CoQD concentration (1-200 μM) while keeping the other substrate constant and in excess. Inhibition of DHODH by small molecules was evaluated using the chromogen based assay with a final substrate concentration of 200 μM L-DHO, 18 μM CoQD, and 100 μM DCIP, unless otherwise noted.";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3639068";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"40.0"
"CHEMBL3217764";"";"None";"335.38";"0";"4.09";"23";"O=C(NCC(c1ccccc1)c1ccccc1)c1cccc(F)c1O";"IC50";"'='";"26100.0";"nM";"4.58";"";"";"UO_0000065";"13.67";"0.25";"0.49";"9.29";"0";"CHEMBL3222704";"Inhibition of N-terminal truncated Plasmodium falciparum recombinant DHODH assessed as ubiquinone reduction to 2,6-dichloroindophenol by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3217562";"1";"Scientific Literature";"Medchemcomm";"2011";"None";"";"";"";"26.1"
"CHEMBL3218524";"";"None";"347.41";"0";"3.96";"28";"COc1ccc(C(=O)NCC(c2ccccc2)c2ccccc2)c(O)c1";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"13.97";"0.25";"0.89";"8.29";"0";"CHEMBL3222704";"Inhibition of N-terminal truncated Plasmodium falciparum recombinant DHODH assessed as ubiquinone reduction to 2,6-dichloroindophenol by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3217562";"1";"Scientific Literature";"Medchemcomm";"2011";"None";"";"";"";"14.0"
